Id,first_day,second_day,third_day,forth_day,fifth_day,sixth_day,seventh_day
279,33,20,51,25,37,104,36
280,2,0,0,0,0,0,0
281,1,0,0,0,0,0,0
284,123,76,44,21,71,191,94
288,68,0,1,5,2,2,1
293,34,0,5,34,8,0,0
294,21,0,0,0,0,0,0
297,88,36,40,26,6,4,37
298,27,69,16,187,8,22,15
301,1,102,23,0,39,122,74
302,173,22,0,25,33,17,13
307,117,9,16,17,0,18,0
309,39,83,139,110,0,0,6
310,2,4,27,0,0,37,0
311,63,0,28,75,4,4,100
313,102,65,135,60,0,0,49
314,15,0,78,0,57,7,23
315,2,0,0,0,0,0,0
316,27,12,0,12,0,0,0
317,116,0,0,0,0,9,0
319,57,29,28,0,7,9,1
320,1,0,0,0,0,0,0
321,24,21,50,57,25,0,0
323,72,118,114,73,10,0,14
324,1,79,77,71,48,0,15
325,16,0,25,14,0,0,0
327,125,10,101,17,30,3,17
329,30,41,19,86,0,31,66
332,35,0,13,12,0,30,22
334,175,16,0,36,10,49,35
335,116,0,20,58,66,31,12
338,9,0,0,0,0,0,0
339,45,4,51,45,0,19,4
340,7,0,0,6,28,0,13
341,47,0,64,98,46,47,6
343,11,0,0,0,0,0,0
345,58,0,36,65,22,116,61
346,35,64,34,148,15,0,0
351,71,54,0,10,131,4,10
352,259,156,9,72,116,78,0
353,2,0,0,0,0,0,0
354,131,130,42,9,0,0,20
355,31,16,12,50,8,0,0
357,54,8,4,2,23,79,3
358,13,0,0,0,0,0,0
361,15,7,72,0,0,0,0
364,63,26,0,92,94,34,17
366,31,30,0,6,32,2,2
367,20,0,0,0,0,0,0
370,15,0,0,0,0,0,0
371,5,0,109,38,44,56,6
373,133,163,45,58,30,42,59
375,51,0,71,0,26,0,0
377,112,12,0,0,4,29,21
382,124,57,20,0,0,38,21
386,68,0,0,0,0,0,1
393,23,0,0,0,0,0,0
394,85,0,9,46,55,5,0
396,33,16,61,42,0,0,93
398,1,20,0,43,0,0,0
399,98,34,0,186,23,15,6
400,8,0,22,15,43,0,3
402,78,4,0,113,28,30,64
406,5,0,6,64,17,78,90
407,94,30,0,0,14,0,6
410,14,0,0,0,0,0,0
412,83,49,0,1,0,0,0
420,1,0,0,0,0,0,0
424,9,29,0,0,0,0,23
425,31,48,0,50,8,10,0
426,52,90,0,0,0,0,4
431,1,17,99,0,0,4,32
433,45,105,47,12,7,11,168
435,111,0,5,116,0,25,22
436,25,0,0,21,34,19,55
438,33,0,0,0,0,0,0
441,38,5,88,0,0,25,0
442,115,0,0,0,91,126,0
444,123,56,39,25,31,8,70
445,5,39,20,0,0,0,0
446,56,17,0,0,0,0,0
447,2,0,0,0,0,0,0
448,17,78,23,0,8,21,39
450,30,4,0,84,36,12,9
451,59,46,26,0,8,10,37
454,15,12,15,15,24,0,0
458,218,2,96,0,103,169,81
459,44,3,31,12,12,29,9
460,7,52,18,1,69,0,0
461,11,0,7,118,186,33,0
463,1,0,0,0,0,0,0
464,56,91,0,0,71,9,3
466,20,49,0,16,7,0,0
467,2,49,3,0,46,98,0
469,73,4,61,36,13,45,6
471,79,3,31,1,26,7,0
474,20,0,0,0,0,0,0
480,37,53,46,1,0,4,0
482,33,0,23,71,99,0,77
484,23,19,95,0,0,0,0
486,21,39,30,0,0,0,0
490,62,0,19,52,8,0,0
491,31,0,0,0,59,0,0
493,57,0,0,42,78,178,166
496,6,2,39,11,21,12,78
500,1,0,0,0,0,0,0
501,6,0,0,0,0,1,8
509,8,19,117,0,0,0,0
511,5,37,0,0,0,0,0
512,54,79,46,77,0,6,44
514,57,20,10,0,51,5,17
515,182,0,0,198,281,5,24
516,201,76,61,49,75,21,0
517,41,11,44,107,15,114,13
518,53,4,0,25,8,4,0
520,10,0,0,0,0,0,0
522,31,182,23,65,70,166,17
523,1,0,0,20,42,259,13
525,12,0,0,0,0,0,0
526,212,80,65,18,12,25,5
530,35,126,44,60,0,0,0
532,74,4,7,13,9,91,10
533,55,100,0,31,0,24,2
534,20,1,30,0,0,0,0
535,9,84,0,0,0,0,27
536,34,23,4,48,15,0,0
541,75,57,59,47,69,2,26
543,50,0,7,0,8,0,4
545,33,16,0,0,0,0,0
546,78,75,0,0,0,26,50
547,53,22,1,0,2,5,0
548,23,1,0,1,0,0,0
550,31,11,0,0,0,0,0
553,25,0,2,0,0,0,0
555,1,2,0,0,0,0,0
556,18,0,33,17,112,0,0
562,24,0,0,0,0,0,16
566,103,66,17,23,0,3,19
576,30,0,173,0,0,15,4
579,27,0,0,0,0,2,58
580,167,0,5,59,35,19,9
581,11,0,0,47,11,38,0
582,1,119,105,132,42,0,0
587,112,0,17,5,8,68,0
588,17,37,157,32,0,0,9
590,8,11,0,0,0,0,0
591,212,159,29,14,12,80,31
592,34,7,0,0,72,77,31
598,59,42,22,9,0,0,0
599,29,38,56,10,0,27,32
600,41,0,12,7,22,4,22
602,31,72,6,0,0,0,0
603,2,0,0,0,0,0,0
611,41,44,20,0,29,0,46
612,50,0,30,0,0,0,15
613,19,31,9,0,0,0,19
614,25,0,0,0,0,0,0
616,11,15,0,0,0,0,0
617,53,0,0,0,0,0,0
620,19,0,0,0,0,0,0
621,31,19,15,15,11,5,0
625,155,27,0,0,55,0,0
627,33,0,0,0,0,0,0
629,11,0,24,0,38,0,0
633,44,35,0,0,0,0,30
634,40,60,8,17,29,164,75
636,110,67,24,30,87,14,0
639,78,0,19,91,150,15,28
643,19,19,73,29,0,1,0
644,15,11,0,0,0,0,0
646,3,19,10,0,4,16,1
650,83,16,20,13,2,0,62
654,84,19,30,0,10,0,22
658,91,149,0,5,52,37,36
659,6,4,0,0,32,31,40
662,13,26,33,23,74,0,0
667,1,0,0,0,0,0,0
668,4,1,0,0,1,0,0
673,21,17,39,0,0,0,0
676,60,30,0,0,0,13,0
677,198,43,0,106,61,162,63
682,106,0,0,25,0,45,0
683,9,44,0,0,0,0,0
687,36,95,0,22,8,0,0
689,13,3,0,0,0,0,0
692,144,116,27,1,13,0,19
697,23,0,0,0,8,75,0
699,24,0,0,18,0,0,0
701,26,0,22,32,2,0,0
704,52,48,55,0,0,0,30
705,19,0,0,0,0,0,0
707,1,0,0,0,19,131,0
711,120,0,12,27,41,29,8
712,6,0,0,0,0,0,0
714,63,5,91,0,4,4,12
715,18,43,74,30,6,28,0
717,164,88,73,6,6,4,32
718,145,42,0,33,53,32,0
719,6,0,0,0,0,0,0
721,1,0,0,0,0,0,0
722,6,2,0,0,0,0,0
724,3,2,0,0,0,0,0
725,21,31,0,0,0,0,0
728,54,0,14,22,25,11,37
730,10,0,0,0,92,148,172
731,1,0,0,0,0,0,0
734,11,75,0,0,39,101,0
736,34,95,0,0,5,5,0
738,1,0,0,9,48,91,4
740,79,70,11,28,0,33,0
742,86,108,1,62,22,25,16
744,19,0,0,0,0,0,0
745,11,0,0,0,0,0,0
746,39,20,19,30,7,3,0
749,87,24,68,91,104,242,0
750,60,24,0,0,0,0,0
753,4,0,0,0,0,0,0
756,1,0,0,0,0,0,0
757,20,24,92,145,0,0,0
760,61,39,11,0,6,26,0
761,52,116,94,86,37,109,201
763,21,0,27,89,9,0,0
769,101,0,87,0,0,100,0
773,17,0,0,0,0,6,0
774,147,122,156,129,52,14,12
775,213,5,14,9,0,3,74
777,261,98,0,18,28,0,550
778,90,3,0,24,62,2,55
780,85,174,117,94,20,3,4
781,48,0,0,0,57,13,51
783,29,51,0,19,0,1,127
785,7,0,8,9,0,0,0
789,24,35,24,54,78,0,0
792,36,0,0,22,20,0,0
793,1,0,0,0,0,0,0
796,2,0,0,0,0,0,0
799,327,106,84,57,10,9,0
800,1,17,1,0,0,0,0
803,20,0,0,0,0,0,0
804,2,0,0,0,0,0,0
806,67,0,0,0,0,0,0
809,18,20,35,64,33,13,0
810,34,54,0,0,0,21,23
815,89,58,13,0,0,0,0
818,8,0,0,0,0,0,0
820,101,16,23,37,0,0,0
822,2,0,0,0,0,0,0
824,26,16,47,0,0,0,0
830,8,0,0,0,0,0,0
835,110,12,8,57,131,175,55
837,39,0,37,0,63,10,4
838,1,0,0,0,0,0,0
839,5,0,0,0,0,0,0
840,56,54,22,36,0,6,101
841,1,0,0,0,0,0,0
845,1,0,0,0,0,0,0
850,1,1,0,0,0,0,0
852,86,204,0,0,0,0,9
854,1,0,0,0,0,0,0
858,54,35,20,7,25,35,16
860,27,1,0,51,40,9,0
861,6,28,0,0,0,0,0
862,65,28,21,5,18,102,45
863,5,93,40,57,14,0,0
865,55,100,16,14,0,0,24
868,14,2,0,5,156,25,126
871,14,11,0,15,0,14,28
873,1,0,0,0,0,0,0
875,9,0,24,17,13,102,36
877,10,0,0,0,0,0,0
878,43,33,0,0,19,13,52
882,42,190,232,76,10,23,12
884,195,80,95,13,142,0,0
885,66,18,100,155,97,106,3
887,23,42,0,0,68,26,8
888,42,0,0,0,0,0,0
890,36,12,0,6,24,0,0
891,13,0,0,21,104,0,0
893,25,0,0,0,0,0,0
899,29,71,36,62,8,28,29
900,8,17,0,0,0,0,0
903,48,8,216,3,0,0,0
904,4,0,24,0,1,1,0
906,53,0,0,28,17,7,117
907,41,9,0,0,9,52,8
917,241,215,63,74,71,33,53
919,36,0,0,0,0,0,0
922,119,21,230,9,6,9,11
923,38,13,15,41,79,0,4
924,116,0,0,14,40,0,0
925,27,40,20,0,9,2,0
930,14,29,11,13,0,0,0
933,76,133,49,117,18,126,73
936,66,129,85,0,112,230,28
937,47,111,81,0,8,162,182
938,21,0,0,0,0,0,0
939,72,0,138,0,0,0,74
941,50,13,0,66,0,26,14
942,2,0,0,0,0,0,0
945,83,65,0,100,38,14,0
946,56,0,0,0,0,8,6
950,6,9,0,0,0,0,0
951,165,33,54,0,12,29,60
952,1,0,0,0,0,0,0
953,21,50,5,15,24,28,0
954,10,0,0,5,5,20,70
955,37,37,40,89,140,102,0
956,1,0,0,0,0,0,0
958,5,57,23,0,0,0,0
960,11,0,0,0,0,0,0
962,18,1,0,0,0,0,0
964,19,0,6,28,62,0,0
965,50,30,27,0,138,32,55
966,5,9,0,0,0,9,2
967,48,0,14,0,0,0,63
970,67,100,4,26,32,9,15
971,48,232,18,0,12,12,21
974,11,0,55,2,0,0,0
976,57,29,13,9,92,36,0
978,40,27,48,59,9,78,31
984,83,10,0,0,0,0,0
985,173,47,91,127,16,18,22
987,194,0,2,0,4,5,8
988,67,26,8,75,98,35,12
989,58,0,16,15,6,0,0
991,51,0,0,0,0,0,0
992,22,0,0,0,0,0,0
996,40,0,42,5,0,25,5
997,129,77,8,0,46,70,20
999,11,0,0,0,0,0,0
1000,209,178,19,20,10,165,0
1001,93,80,12,12,16,143,9
1002,2,0,0,0,0,0,0
1008,8,0,0,49,27,0,0
1011,19,10,63,0,0,0,0
1018,106,141,5,17,7,59,38
1019,94,5,49,0,59,157,46
1020,37,0,117,111,66,0,0
1021,77,13,0,4,0,39,28
1022,37,0,0,0,0,0,0
1023,1,0,0,0,0,0,0
1028,44,92,12,123,5,109,44
1029,10,0,23,94,12,9,35
1037,56,94,37,0,8,4,4
1040,8,1,10,9,16,89,28
1041,37,7,1,5,199,91,0
1043,36,14,0,0,0,14,0
1044,109,0,0,0,0,0,7
1045,17,0,0,0,0,0,0
1049,21,0,0,0,0,19,0
1050,19,157,31,0,16,8,24
1052,1,0,0,0,0,0,0
1054,7,2,2,0,27,203,0
1056,40,26,0,112,1,26,35
1057,6,8,14,44,0,0,0
1058,52,48,0,0,0,0,0
1066,67,0,0,7,79,0,0
1069,68,24,0,5,7,50,50
1073,8,24,0,0,0,0,0
1074,11,70,64,32,0,0,0
1075,30,53,0,0,0,2,6
1076,12,18,60,19,24,0,0
1077,26,20,138,177,80,28,49
1082,8,6,24,2,0,0,24
1084,25,58,76,0,0,0,0
1085,43,163,47,46,0,0,0
1086,45,60,43,32,0,0,0
1087,4,0,38,38,56,0,0
1088,35,3,15,0,0,0,2
1089,101,5,14,34,64,43,31
1090,14,0,0,0,4,97,226
1091,5,0,19,93,50,34,15
1092,36,69,11,0,19,8,12
1095,100,21,63,67,0,0,0
1096,14,98,13,29,0,24,18
1098,50,43,32,46,12,9,0
1101,55,25,3,0,246,0,3
1107,4,0,0,0,0,0,0
1108,37,56,99,0,0,90,0
1110,11,0,7,27,0,10,50
1112,82,0,67,20,21,0,0
1116,147,230,162,97,39,121,2
1118,13,4,20,31,0,0,50
1124,14,42,0,0,56,0,23
1126,25,0,11,0,0,0,0
1128,120,120,85,0,96,91,13
1129,97,0,0,0,0,0,0
1131,31,39,30,7,10,4,12
1134,114,21,0,0,19,7,28
1135,51,10,17,0,0,26,4
1136,9,0,0,0,0,0,0
1137,24,7,286,27,0,45,23
1138,4,0,0,0,0,18,162
1139,53,47,26,79,7,43,2
1140,8,51,19,0,23,38,9
1141,54,86,4,40,0,0,0
1142,83,62,65,39,0,1,8
1143,22,20,37,0,0,0,0
1144,56,73,2,96,57,21,63
1149,48,32,0,0,0,19,16
1153,7,0,0,0,0,0,0
1154,87,0,0,0,0,80,0
1158,2,2,0,1,0,0,0
1162,12,26,5,0,0,0,0
1163,100,22,43,34,13,22,4
1167,23,49,59,68,16,81,29
1168,10,0,19,0,24,0,0
1169,34,0,0,41,7,215,6
1170,152,81,11,4,0,0,35
1172,82,63,9,21,0,0,0
1176,1,0,0,0,0,0,0
1177,2,0,0,0,0,0,0
1178,50,0,0,0,9,0,0
1179,1,0,0,0,93,0,72
1180,2,0,0,0,0,0,0
1183,25,109,0,115,32,0,8
1185,183,207,106,11,6,54,27
1186,10,23,0,0,0,0,5
1187,73,0,0,0,0,0,0
1188,30,6,11,0,0,0,0
1190,15,0,17,33,0,0,0
1191,29,0,17,0,0,29,0
1192,40,20,63,9,56,9,1
1195,29,35,7,29,0,27,9
1196,61,65,22,25,14,32,36
1199,2,0,0,0,0,0,0
1201,1,0,0,0,0,0,0
1202,20,6,10,49,48,53,22
1203,34,29,17,0,3,9,62
1204,5,0,0,0,0,0,0
1206,31,0,25,7,102,11,45
1212,30,48,0,54,18,57,40
1216,87,40,172,0,0,112,67
1222,6,0,0,0,22,0,0
1227,7,0,2,120,4,0,56
1228,70,0,0,0,0,0,0
1230,14,141,64,0,0,0,0
1233,13,0,0,0,0,0,0
1241,14,0,21,0,0,53,0
1244,22,0,0,0,0,0,0
1246,20,0,0,0,0,0,0
1248,37,33,0,19,0,129,54
1249,12,0,0,0,0,0,0
1250,17,59,0,0,4,4,0
1257,16,0,31,1,40,33,21
1258,40,70,64,0,0,0,0
1260,471,260,1,40,0,112,92
1263,133,94,28,0,0,0,0
1264,75,32,143,31,68,17,10
1268,11,18,4,69,24,0,0
1269,6,0,0,0,0,0,0
1270,18,29,24,4,20,5,18
1271,14,0,0,0,0,0,0
1273,1,0,0,0,0,0,0
1280,19,9,33,11,0,42,0
1281,111,194,37,19,9,0,19
1283,2,0,18,0,0,0,0
1284,18,2,10,0,27,0,0
1287,54,81,61,25,163,7,6
1292,143,64,16,9,69,5,6
1295,1,0,0,0,0,0,0
1296,27,6,0,0,17,13,0
1299,15,46,67,44,88,35,42
1301,51,71,4,0,6,12,7
1303,13,0,32,55,24,63,0
1308,61,35,31,0,0,0,0
1309,43,103,49,28,202,81,52
1310,81,49,34,0,0,0,0
1312,19,11,24,36,3,0,1
1315,73,0,25,163,0,9,171
1316,5,66,52,45,39,21,32
1318,18,52,64,0,0,37,0
1321,101,43,37,6,169,23,24
1322,17,0,4,13,7,38,7
1323,6,0,0,0,0,0,0
1328,23,0,0,0,22,0,0
1331,55,3,1,75,3,1,2
1337,35,87,19,23,14,5,12
1339,22,0,60,0,26,2,58
1341,26,0,22,10,0,0,14
1343,14,46,0,24,63,43,10
1344,25,55,12,0,8,2,26
1345,29,0,0,0,0,0,0
1348,1,0,0,0,0,0,0
1350,22,0,173,57,11,4,3
1351,22,5,68,46,64,2,125
1358,12,19,150,76,32,0,10
1364,55,33,94,18,50,0,0
1366,15,8,0,11,1,66,60
1367,3,5,0,1,0,4,12
1371,12,22,89,28,0,0,0
1372,56,16,92,1,65,11,5
1373,155,17,1,113,21,7,1
1376,12,26,34,19,7,3,2
1378,9,26,30,0,0,0,0
1379,46,59,48,8,34,0,0
1380,5,13,11,0,0,0,0
1386,78,56,41,0,0,39,30
1387,100,0,48,49,17,0,164
1389,33,62,1,0,20,5,0
1392,66,29,6,26,6,14,37
1397,18,34,31,41,57,0,41
1398,21,0,4,0,0,4,0
1401,18,0,4,35,28,13,23
1402,5,0,0,0,0,0,0
1404,45,113,9,61,0,20,13
1406,126,71,153,227,90,473,253
1407,17,0,0,13,0,16,24
1408,61,139,155,11,19,0,0
1410,52,0,0,0,8,59,57
1412,8,1,5,0,0,0,0
1414,69,0,170,0,0,0,0
1417,13,7,75,0,8,0,0
1418,1,0,0,0,0,0,0
1420,1,10,1,0,0,0,0
1423,348,237,96,142,62,76,82
1424,116,46,2,11,7,9,21
1425,16,34,0,0,0,0,0
1428,15,0,0,0,0,0,0
1429,67,349,142,150,31,148,0
1430,34,22,40,24,95,0,0
1431,3,1,0,0,0,1,3
1433,62,5,3,9,43,32,2
1437,83,0,2,18,44,81,0
1438,87,0,12,0,0,0,12
1440,18,24,18,2,20,54,26
1441,1,0,0,0,0,0,0
1443,97,0,0,0,9,45,0
1444,8,0,0,0,0,0,0
1450,134,0,28,64,31,95,109
1452,31,29,3,0,6,3,15
1453,32,0,0,0,0,0,0
1454,22,0,15,23,2,17,3
1455,197,133,23,11,76,71,0
1456,10,4,5,0,0,0,0
1457,48,50,17,0,67,0,0
1460,30,18,41,11,0,6,9
1462,5,16,0,0,0,0,0
1463,42,0,30,0,3,65,42
1464,9,0,27,0,0,0,0
1465,5,0,0,0,0,0,0
1466,43,0,59,29,43,19,0
1468,54,11,14,126,40,66,5
1473,55,35,19,117,329,43,172
1474,9,54,0,0,0,0,0
1477,94,9,28,0,6,10,31
1478,37,0,7,17,56,43,58
1480,3,0,0,0,0,0,0
1481,5,5,66,110,0,0,163
1484,9,77,0,18,12,0,51
1485,12,109,6,62,0,29,0
1488,3,0,0,0,0,0,0
1490,16,42,13,19,0,21,0
1491,136,418,249,2,11,3,166
1493,25,34,0,33,17,62,7
1494,98,490,8,32,13,0,6
1495,39,0,5,38,69,54,10
1497,11,16,31,0,15,7,6
1498,37,14,22,6,0,23,0
1499,67,37,85,41,0,0,0
1501,125,33,0,6,28,18,30
1503,19,0,23,30,33,9,0
1504,26,7,0,0,0,0,0
1506,40,24,6,2,8,26,1
1508,9,24,5,43,0,0,0
1509,210,203,0,19,34,12,24
1512,28,44,14,97,0,24,4
1513,9,97,0,0,149,59,6
1516,43,45,14,7,0,0,6
1518,23,0,9,0,0,0,0
1519,77,39,0,30,11,60,57
1521,92,168,20,93,68,100,27
1522,18,0,0,0,0,0,16
1524,18,0,60,1,0,0,11
1525,13,12,67,0,11,48,53
1529,145,139,0,227,0,0,0
1530,94,2,2,0,0,10,0
1532,1,0,0,0,0,0,0
1533,1,0,0,0,0,0,0
1535,56,0,0,21,0,0,0
1536,1,0,0,0,0,0,0
1537,17,6,0,0,0,2,60
1538,2,0,0,0,0,0,0
1542,168,0,0,34,0,0,0
1545,12,13,0,0,25,0,73
1546,44,10,26,38,7,54,15
1548,98,57,128,26,15,0,6
1549,2,0,0,0,0,0,0
1550,18,22,14,59,72,47,10
1551,8,0,0,9,55,54,83
1557,20,46,62,0,69,0,0
1558,10,40,0,30,0,0,0
1561,140,26,4,42,54,0,4
1562,5,0,0,0,0,0,0
1564,30,38,4,54,36,1,9
1565,6,5,4,4,4,28,0
1567,15,0,0,30,7,0,0
1569,185,0,0,0,13,55,12
1572,9,0,49,0,0,23,0
1573,85,59,68,64,9,0,0
1578,101,43,28,37,4,4,3
1579,26,29,0,20,0,5,8
1581,91,13,2,36,60,32,26
1582,7,12,44,42,12,45,0
1583,13,0,10,0,0,0,1
1585,35,30,16,21,8,0,15
1588,76,28,0,28,0,16,0
1592,21,0,1,0,25,20,30
1593,160,129,162,123,52,23,53
1594,13,68,32,78,0,41,36
1595,29,4,0,0,0,0,0
1601,10,31,0,0,0,0,0
1602,9,12,12,39,10,17,49
1604,68,31,3,53,46,39,13
1606,101,28,10,95,121,1,0
1607,7,0,0,0,0,0,0
1608,2,5,2,107,35,22,54
1609,85,24,25,6,0,10,30
1610,57,24,55,7,15,0,0
1612,16,4,21,0,0,0,56
1615,29,141,33,7,9,1,0
1616,152,0,0,0,0,143,9
1617,3,14,0,0,0,0,0
1620,53,73,16,14,17,41,10
1622,67,149,29,35,193,2,11
1627,56,27,10,48,35,33,7
1628,27,7,48,60,0,4,16
1629,4,17,0,0,0,0,0
1630,65,60,54,47,0,72,10
1631,89,8,12,8,22,0,0
1633,38,5,11,13,49,21,48
1634,30,13,9,9,59,35,37
1639,22,0,6,0,0,0,0
1640,42,71,57,20,59,18,23
1648,56,52,0,24,58,0,135
1649,59,9,28,35,36,0,1
1651,82,141,1,0,10,176,0
1652,82,13,23,1,0,64,31
1653,7,0,0,0,0,0,0
1654,1,0,12,0,0,10,6
1657,54,114,26,0,10,0,5
1662,52,70,31,20,0,7,0
1663,8,5,45,20,0,0,0
1668,14,0,0,0,0,0,42
1669,11,0,0,0,0,0,0
1672,1,0,0,0,0,0,0
1673,47,8,4,5,0,47,16
1674,7,0,24,0,0,0,0
1676,12,0,2,0,7,0,1
1677,28,226,85,83,21,26,17
1678,2,63,34,0,0,0,0
1679,5,12,4,15,0,6,25
1681,71,30,56,0,0,0,0
1685,1,0,0,0,0,0,0
1688,195,189,39,157,0,4,5
1690,50,38,0,0,14,0,0
1692,1,0,0,0,0,0,0
1694,41,0,40,0,0,19,32
1697,132,21,69,110,32,0,110
1698,24,3,0,10,0,4,4
1700,8,0,0,1,0,0,0
1703,2,0,0,0,0,0,0
1705,150,141,98,0,0,5,6
1707,47,91,0,33,14,48,0
1708,70,82,33,0,0,4,95
1711,12,0,8,52,0,0,0
1713,20,19,43,4,32,15,18
1715,3,27,0,34,0,0,0
1719,23,39,12,8,21,28,20
1720,7,0,0,43,0,54,41
1722,2,0,0,0,0,0,0
1724,1,0,0,0,0,0,0
1725,6,0,0,0,0,0,0
1730,29,0,0,0,0,4,0
1731,33,40,9,20,136,3,22
1732,22,10,30,0,0,0,0
1733,17,0,70,0,33,0,0
1734,73,0,22,13,14,0,0
1735,13,12,33,22,14,0,43
1736,63,88,7,0,11,0,19
1740,9,0,0,0,0,0,0
1745,32,0,0,101,0,0,0
1747,31,57,45,18,31,5,102
1749,13,10,8,12,8,1,2
1751,10,0,0,0,0,0,0
1752,523,0,0,0,0,0,4
1753,24,14,1,120,0,15,8
1754,37,45,1,79,0,7,52
1755,9,293,15,45,0,16,231
1757,8,0,51,0,0,2,67
1758,13,0,2,93,0,2,0
1760,17,19,0,0,0,0,0
1763,9,0,0,0,0,0,0
1764,46,0,0,0,0,53,0
1767,68,43,0,17,0,31,48
1770,14,0,0,0,0,0,0
1772,7,0,0,5,0,0,0
1776,6,8,0,0,0,0,4
1779,37,39,0,16,19,0,0
1780,39,0,2,4,3,11,59
1782,22,0,32,71,38,0,56
1788,145,36,0,0,0,0,12
1789,41,27,9,24,13,0,1
1790,20,4,0,10,0,78,13
1792,283,46,9,16,13,21,18
1793,11,0,0,0,4,0,26
